""	"protein"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"significant"	"mean_mouse"	"mean_naked mole rat"	"ngood_mouse"	"ngood_naked mole rat"
"105"	"A6H619"	NA	23.246013688319	NA	NA	NA	NA	NA	23.246013688319	NA	3	0
"106"	"A6H630"	1.69976212650822	25.2593099000099	5.05253277674707	0.00181113974239046	0.0134390755416575	-1.10383906713362	TRUE	24.4094288367557	26.109190963264	3	3
"107"	"A6H6A9"	-0.531683631234862	24.7594723583476	-1.08367166406833	0.323445755274207	0.455907489681251	-6.23928611984621	FALSE	24.9721458108416	24.4404621796067	3	2
"108"	"A6H6T1"	1.75899929065246	26.2110697020559	0.91969665132328	0.416103529602606	0.54547709384274	-6.09488322840452	FALSE	25.6247366051717	27.3837358958242	2	1
"109"	"A6H8H2"	-2.38714575880147	24.563666749758	-6.57467944201302	0.000417094502869314	0.00623061788306841	0.46773735988724	TRUE	25.7572396291587	23.3700938703572	3	3
"110"	"A6X8Z5"	NA	26.755149329354	NA	NA	NA	NA	NA	NA	26.755149329354	0	2
"111"	"A6X919"	0.632350758257109	26.9132992931721	1.48889482420066	0.183111193868379	0.306157616521915	-5.88160170891739	FALSE	26.5971239140435	27.2294746723006	3	3
"112"	"A6X919;P0CW70"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"113"	"A6ZI46"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"114"	"A6ZI47"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"115"	"B0QZW4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"116"	"B1AQJ2"	3.94876316556378	26.3061057548267	2.26522171993162	0.0783249562677953	0.168470353733848	-4.58740134944884	FALSE	25.3189149634357	29.2676781289995	3	1
"117"	"B1AR13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"118"	"B1AR17"	-1.78055631293226	25.4464033182545	-4.07761775704022	0.0117093791539006	0.0458151855823637	-2.53439276080512	TRUE	25.8915423964876	24.1109860835553	3	1
"119"	"B1AR51"	5.11008693542329	26.8024971617897	8.85177081766133	0.00570153592275035	0.0280051713629331	-1.33640003735897	TRUE	24.2474536940781	29.3575406295014	1	1
"120"	"B1ART2"	2.48602133174185	24.8723998119694	1.53991042941599	0.178608883415449	0.300843962177905	-5.71047680645554	FALSE	23.3807870129243	25.8668083446661	2	3
"121"	"B1ARW8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"122"	"B1AUN2"	-0.44332709343533	26.1811404741385	-1.14945685066571	0.290693186184109	0.419658990476297	-6.28385559913697	FALSE	26.4028040208562	25.9594769274209	3	3
"123"	"B1AVD1"	3.3180082026815	26.3333041653409	6.60935669103577	0.00172538825773772	0.0131814811184286	-0.509418173411504	TRUE	23.8447980133297	27.1628062160112	1	3
"124"	"B1AVZ0"	0.251917937281183	25.2146128083832	0.541519171131348	0.606108917165771	0.71713540090354	-6.80710589538356	FALSE	25.0886538397426	25.3405717770238	3	3
"125"	"B1AWL2"	-1.07882512143895	22.324104963412	-1.86875739062593	0.175100182822373	0.296202267196301	-4.96041643986819	FALSE	22.8635175241315	21.7846924026926	1	1
"126"	"B1AWZ3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"127"	"B1AXB9"	0.576357098129271	25.148155438005	1.61769951477414	0.172602973060397	0.293008609987887	-5.39520082414686	FALSE	25.0040661634726	25.5804232616019	3	1
"128"	"B1AY13"	0.162557474586176	25.7847657838777	0.396539596621899	0.704335460200324	0.794433379732955	-6.88222481062696	FALSE	25.7034870465846	25.8660445211708	3	3
"129"	"B1AZI6"	-0.735863555267179	25.7605904298298	-1.83307569749824	0.112464481888531	0.214653083252876	-5.42468179890455	FALSE	26.1285222074634	25.3926586521962	3	3
"130"	"B1AZI6;E9Q5E2"	-0.171413989399651	25.91859572424	-0.718783097765402	0.497163563184492	0.617830191298738	-6.68692567197609	FALSE	26.0043027189398	25.8328887295402	3	3
"131"	"B1AZP2"	0.822549436601121	25.6112033646398	1.60423678170457	0.163917333274724	0.282869649759915	-5.62922315680262	FALSE	25.1176737026791	25.9402231392803	2	3
"132"	"B2KF50"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"133"	"B2RPU8;Q9D1L0"	-0.431616036887667	29.4245407398034	-1.4547425121631	0.19203185299151	0.315838995442336	-5.92463002310628	FALSE	29.6403487582472	29.2087327213596	3	3
"134"	"B2RPY5"	NA	27.4849222160324	NA	NA	NA	NA	NA	NA	27.4849222160324	0	3
"135"	"B2RQC6"	-1.92385533839433	27.944753577214	-7.01825051603372	0.00028530749120053	0.00506217005815798	0.870313771801999	TRUE	28.9066812464112	26.9828259080168	3	3
"136"	"B2RQE8"	0.765849999285842	24.8845799548841	1.38399241945185	0.211780864374998	0.33831660495961	-6.01212645964232	FALSE	24.5016549552412	25.2675049545271	3	3
"137"	"B2RQG2"	-0.323517339365018	23.9045696153842	-1.22198086070267	0.26395674996121	0.391543822745265	-6.20312362683379	FALSE	24.0663282850667	23.7428109457017	3	3
"138"	"B2RR83"	-2.96071723427095	26.6457842389871	-3.46426480192008	0.0116928597849716	0.0458004208361365	-3.10256444479203	TRUE	28.1261428561226	25.1654256218516	3	3
"139"	"B2RRE7"	-0.0146823364526125	25.0890104381284	-0.0569921192050727	0.95625466449021	0.975148726085144	-6.96916604033696	FALSE	25.0963516063547	25.0816692699021	3	3
"140"	"B2RSH2"	2.3296183507407	26.9327930032485	6.58505612860856	0.00175210054151482	0.0132228837742446	-0.525003223998282	TRUE	25.185579240193	27.5151975909337	1	3
"141"	"B2RT41"	NA	23.0048144782613	NA	NA	NA	NA	NA	23.0048144782613	NA	3	0
"142"	"B2RUJ5"	NA	22.0100952278856	NA	NA	NA	NA	NA	22.0100952278856	NA	2	0
"143"	"B2RUR8"	NA	23.8850131565315	NA	NA	NA	NA	NA	23.8850131565315	NA	2	0
"144"	"B2RVL6"	0.714650227218457	24.1876234338888	0.819227144056487	0.464277765196482	0.588796845850004	-6.18501911186379	FALSE	23.9494066914827	24.6640569187011	2	1
"145"	"B2RWS6"	-0.995424689093035	22.7726195910299	-1.53749643576587	0.171072083700066	0.291477858781817	-5.81953996367881	FALSE	23.2703319355764	22.2749072464834	3	3
